date_time,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,kdj_k,kdj_d,srsi,cci,williams,y
2017-11-26 09:30:00,0.004447080422093297,0.02615959399033541,0.035870199603128095,0.04489210564427526,0.05675992688430687,0.004437221378452705,0.017466894944906292,0.21363072956337373,0.03128450071551672,0.34387078999218634,0.3020485086580702,-0.08767027051296125,0.02138606297170753,0.009418561679318316,0.008671785869537985,0.011293922308524884,0.02265379404754242,8574.944285714284,8327.354666666668,88.0,91.1594987768212,95.98291332248266,59.60796258473236,165.91053709519898,-8.8405012231788,0.0
2017-11-26 22:20:00,-0.0052270928429705155,0.022271866295264564,0.03387196736644027,0.038469679151466714,0.060917638270735486,-0.0052408018859271275,0.01651757647247492,0.08044889539846534,-0.11965715056103353,0.3113741351052565,0.11023847858274427,-0.11672326028677454,0.02726827227952988,0.011283475362958484,0.004437221378452705,0.02138606297170753,0.009418561679318316,8899.624285714284,8523.670666666667,93.0,88.92274773112958,94.18296402265612,64.85615718362484,132.5905066624742,-11.077252268870435,0.0
2017-11-27 07:25:00,0.013234515616728393,0.043064276519936495,0.03761208270538097,0.06629526462395541,0.07839491565531942,0.01314770451138969,0.015422676559767604,-0.0015535754079926785,-0.2257796142531075,0.18081724820116155,0.18519888957303166,-0.003326368155915636,0.02901509618552645,-0.0052408018859271275,0.02726827227952988,0.011283475362958484,0.004437221378452705,9156.757142857143,8721.962666666666,95.0,99.12991640767336,93.15934808966051,69.42392517712399,137.09131279572927,-0.8700835923266383,1.0
2017-11-30 14:50:00,0.027777777777777683,-0.044421487603305776,-0.07476776670944407,-0.08415841584158412,-0.08776580532034706,0.02739897418811488,0.027347538197300764,0.043906859095352864,0.03257401321865345,0.23199793074461564,0.10912668603049597,-0.217788666284125,-0.07283732395226572,-0.0322721601997884,-0.010201362358939649,-0.003946657138554244,-0.039633352341667205,9816.759999999998,9752.327999999996,28.0,20.833711029327333,29.883391789473592,45.20053511954591,-101.46563585916832,-79.16628897067267,1.0
2017-12-01 15:55:00,-0.017840375586854473,0.02528513905062124,0.057633973710818916,0.1143628156517904,0.08607846761181115,-0.01800143351865735,0.029804223647499017,0.03605467616202042,0.03437946028192011,0.012501238748945764,0.04963984960220391,-0.17569666674090767,0.04297219186254253,0.03106355465827093,0.0522484627779729,-0.025709303092366298,-0.017397399727512308,10002.792857142851,9754.472666666663,69.0,88.32401663371732,88.60285090598761,46.05712343834943,102.67923877623603,-11.67598336628267,0.0
2017-12-02 04:05:00,-0.01742656709662826,0.010707654949078105,0.029202672234137195,0.03776099426386237,0.019246948356807403,-0.017580197163109542,0.02952458967540556,0.05116087821217829,0.035912220504768555,0.006009626996837809,0.0963979331546444,-0.1445602050107813,0.028230931141166593,0.01813366386273429,0.008281104382080073,-0.01800143351865735,0.04297219186254253,10643.068571428566,10048.602666666668,80.0,89.15865317222237,94.29163635941238,51.189453818249426,112.81723799692988,-10.841346827777645,0.0
2017-12-03 14:20:00,-0.01545477707006371,0.045160068877849964,0.04714634371053905,0.06800567120811651,0.06260397561505449,-0.015575447036717094,0.030772479178209883,0.010514063897311146,0.04106499407442251,-0.002871476501190472,0.07866096602088525,-0.1521949504739641,0.05974549668291651,0.0018986467922914585,0.019724354205372663,-0.005070574212943768,0.0024769399940396397,11168.434285714282,10979.974666666663,84.0,86.95483870967745,93.17760742801998,59.949929301675475,111.15059548376816,-13.045161290322547,1.0
2017-12-06 12:25:00,-0.014434035909445697,0.009676826001071559,0.020703337855383808,0.031293906224473256,0.06856538298772752,-0.014539219986509975,0.02335182057542917,-0.1804014471254595,-0.06821618481428192,-0.13638887034825728,-0.03142634249517934,0.08463422266443457,0.024169525380628443,0.010861631190859809,0.01032229690827613,0.03550275179000728,0.00552347858251956,12302.162857142857,11948.27266666667,87.0,82.45187749741923,94.15062583247312,62.794176516355094,129.46145811732674,-17.548122502580767,1.0
2017-12-07 00:15:00,0.024456991436937248,0.06647766675985367,0.09029362838020803,0.11368306451612907,0.07888131162602474,0.02416270776383556,0.023366632174071828,-0.12370170733999095,0.06988176489061125,-0.11444162415616778,-0.0580741196441154,-0.058278145175436384,0.04019861026155347,0.0220857257734064,0.021225554998173024,-0.03174791706427449,0.01375749375313262,12961.374285714282,12508.976,83.0,100.0,97.5668915681434,67.31189742533427,146.32570823847226,-0.0,1.0
2017-12-07 01:35:00,0.016061933413325624,0.040911751418213134,0.08360736003014924,0.10780585204022408,0.13157096774193544,0.01593430538240348,0.022502801443204108,-0.16788930459857168,0.0158740668113587,-0.06467502833373012,-0.0580462050909703,-0.10112721382577028,0.02416270776383556,0.04019861026155347,0.0220857257734064,0.021225554998173024,-0.03174791706427449,13162.28571428571,12663.409333333335,86.0,100.0,100.00000000000006,68.70661959069223,149.77722433944064,-0.0,1.0
2017-12-07 02:40:00,-0.03725195061390518,-0.021788355550856675,0.00213575826094825,0.043240872169441946,0.06653792315022655,-0.037963532374764235,0.02310543173684388,-0.2215968072111464,0.007554615625347007,-0.1266284601968735,-0.10165904289288627,-0.15619949390271556,0.01593430538240348,0.02416270776383556,0.04019861026155347,0.0220857257734064,0.021225554998173024,13263.541428571423,12783.994666666667,60.0,77.61849097160675,92.53949699053562,69.13687131791583,99.77351152883092,-22.381509028393253,0.0
