,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,kdj_k,kdj_d,srsi,cci,williams,sma
76,2017-11-26 09:30:00,7315,8848.96,8968.98,8800.0,8874.3,802.6634969999999,480.14741399999986,58,7123957.831008572,8338.097424237023,8896.802816614985,7779.39203185906,-1.0,0.004447080422093297,0.026159593990335406,0.035870199603128095,0.04489210564427526,0.056759926884306866,0.004437221378452705,0.017466894944906292,0.21363072956337373,0.031284500715516715,0.34387078999218634,0.3020485086580702,-0.08767027051296125,0.02138606297170753,0.009418561679318316,0.008671785869537985,0.011293922308524884,0.02265379404754242,8574.944285714284,8327.354666666668,88.0,91.1594987768212,95.98291332248266,59.60796258473236,165.91053709519895,-8.840501223178801,1.0
77,2017-11-26 14:15:00,7372,8840.99,8995.99,8800.0,8975.0,801.9956210000001,545.945858,57,7139597.907949941,8396.031880563281,8998.529992571395,7793.533768555168,-1.0,0.011347373877376388,0.015844916983681845,0.03780381056120041,0.04762460604645735,0.05674888702853975,0.011283475362958484,0.017157972096560104,0.21126062207432397,-0.03064691904625182,0.29656357127639527,0.2765838246223668,-0.1003201677144752,0.004437221378452705,0.02138606297170753,0.009418561679318316,0.008671785869537985,0.011293922308524884,8684.294285714283,8383.034000000001,89.0,98.08832503028263,96.356638134136,61.06254407599081,144.85916478774433,-1.9116749697173732,1.0
79,2017-11-26 22:20:00,7469,9202.17,9325.02,8972.78,9174.89,782.626482,461.8865020000002,46,7137565.865563082,8535.257869449702,9255.089586945793,7815.426151953612,-1.0,-0.0052270928429705155,0.022271866295264564,0.03387196736644027,0.03846967915146671,0.060917638270735486,-0.005240801885927127,0.01651757647247492,0.08044889539846534,-0.11965715056103352,0.31137413510525647,0.11023847858274427,-0.11672326028677456,0.02726827227952988,0.011283475362958484,0.004437221378452705,0.02138606297170753,0.009418561679318316,8899.624285714284,8523.670666666667,93.0,88.92274773112958,94.18296402265611,64.85615718362484,132.5905066624742,-11.077252268870435,1.0
80,2017-11-27 03:10:00,7527,9145.29,9573.97,9091.04,9445.0,759.2916959999997,469.2704889999998,58,7098017.803240621,8617.998420196185,9413.419308242075,7822.577532150294,-1.0,0.02944013497709519,0.024059155815289834,0.05236768802228409,0.06430929763474302,0.06904236667530661,0.029015096185526446,0.015599179177767349,-0.008645652832233881,-0.10333564983854983,0.15050617709020944,0.13906962353534974,0.002236082890068383,-0.005240801885927127,0.02726827227952988,0.011283475362958484,0.004437221378452705,0.02138606297170753,9025.052857142857,8615.277333333333,95.0,91.42538013017843,91.96198238928804,67.31975603820734,140.46292983926824,-8.57461986982158,1.0
81,2017-11-27 07:25:00,7578,9425.09,9582.99,9425.09,9570.0,759.2915930000001,341.729084,51,7228166.907173108,8704.578950087096,9571.860434371049,7837.2974658031435,-1.0,0.013234515616728393,0.043064276519936495,0.03761208270538097,0.06629526462395541,0.07839491565531942,0.01314770451138969,0.015422676559767605,-0.0015535754079926785,-0.22577961425310752,0.18081724820116155,0.18519888957303163,-0.003326368155915636,0.029015096185526446,-0.005240801885927127,0.02726827227952988,0.011283475362958484,0.004437221378452705,9156.757142857143,8721.962666666666,95.0,99.12991640767336,93.15934808966051,69.42392517712399,137.09131279572927,-0.8700835923266383,1.0
82,2017-11-27 10:35:00,7616,9561.18,9654.27,9182.2,9311.0,764.7556569999998,289.5422240000001,38,7223075.445260201,8759.728364214126,9628.97971906939,7890.477009358863,-1.0,-0.027063740856844265,-0.014187400741132894,0.014835055243169082,0.009530418189112044,0.03743732590529247,-0.027436708558470357,0.016069358019471344,-0.05569734380794061,-0.2772571677851268,0.21510809681204365,0.09867464796707288,-0.009232230132238282,0.01314770451138969,0.029015096185526446,-0.005240801885927127,0.02726827227952988,0.011283475362958484,9224.755714285713,8800.370666666666,71.0,78.027345000192,89.52754717934799,70.65513927423432,103.0670677043773,-21.972654999807993,1.0
83,2017-11-27 14:10:00,7659,9425.0,9561.05,9400.02,9533.01,750.4904949999997,455.208806,43,7127235.713045413,8830.050142658416,9726.52784317155,7933.572442145282,-1.0,0.023843840618623213,-0.0038652037617554758,0.009318157755426215,0.03903262055457901,0.03360150058006517,0.02356401559222654,0.01448629648380569,-0.09455178059960852,-0.2006137460826055,0.26933768069836767,0.2384364297080758,0.1356986956454127,-0.027436708558470357,0.01314770451138969,0.029015096185526446,-0.005240801885927127,0.02726827227952988,9318.857142857141,8894.877333333334,71.0,92.06231793931855,89.73985978239467,72.00832073342306,104.19943654488293,-7.93768206068145,1.0
95,2017-11-29 06:30:00,8143,10499.99,10512.33,10008.27,10412.97,698.2866730000003,312.66880699999996,11,7204799.62930823,9606.628744778114,10633.517377012367,8579.740112543861,-1.0,0.009008720930232528,0.021786999040323884,0.04980038310313528,0.05368304418438741,0.05934829494587768,0.008968384476075286,0.013479542306991407,-0.10664759433239397,-0.14602242663171988,0.1797759368371429,0.18202559247053457,0.108620314235887,0.012584669772028434,0.027046980517532404,0.00369165303647101,0.005362215156161199,0.010595529589629393,10040.137142857144,9800.407333333334,81.0,76.07771143171503,81.48518837272604,75.26913502381875,111.73142151159853,-23.922288568284962,1.0
106,2017-11-29 20:10:00,8307,8980.01,9649.99,8980.01,9649.99,857.323074,397.19833200000005,6,8015086.41055654,10087.451125711244,11206.371642208707,8968.530609213782,1.0,0.03420821365799287,-0.0282972225382917,-0.07682100832296945,-0.10797654669169887,-0.09005023116519895,0.03363612298866414,0.020199071615054964,0.1230460879488046,0.11384937777146342,0.2245039707689847,0.22314524570843403,-0.14369016157394934,-0.06234142877639215,-0.051226833681914385,-0.034330714331613166,0.019896973723852796,-0.050119429327137865,10276.841428571428,10412.72,22.0,37.254655900611375,23.117131408412035,70.43324080933475,-100.43390970184126,-62.74534409938863,-1.0
119,2017-11-30 14:50:00,8531,9006.19,9250.0,8905.25,9250.0,796.1334139999999,478.76038999999986,13,7219859.848169642,9849.560578864917,10726.51415076794,8972.607006961895,1.0,0.02777777777777768,-0.044421487603305776,-0.07476776670944407,-0.08415841584158412,-0.08776580532034706,0.027398974188114877,0.027347538197300764,0.043906859095352864,0.032574013218653455,0.23199793074461564,0.10912668603049597,-0.217788666284125,-0.07283732395226572,-0.0322721601997884,-0.010201362358939647,-0.003946657138554244,-0.039633352341667205,9816.759999999998,9752.327999999996,28.0,20.833711029327333,29.883391789473592,45.20053511954591,-101.46563585916832,-79.16628897067267,1.0
120,2017-11-30 16:15:00,8548,9286.0,9301.01,8949.97,9124.96,780.926871,312.132271,17,7103053.5593938315,9783.687153023397,10679.035437026901,8888.338869019892,1.0,-0.013517837837837887,0.013884444444444366,-0.05733884297520675,-0.08727490600140642,-0.09653861386138618,-0.013610035627031891,0.027438626213899683,0.031119776894615692,0.061244736210244774,0.24265334954249143,0.11507541425132284,-0.21447341250768961,0.027398974188114877,-0.07283732395226572,-0.0322721601997884,-0.010201362358939647,-0.003946657138554244,9613.198571428571,9738.60533333333,30.0,13.277373894861466,16.746647917888026,44.88667541726555,-97.81174204332419,-86.72262610513853,-1.0
129,2017-12-01 15:55:00,8832,10660.0,10660.0,10330.99,10460.0,680.5209550000002,346.9546830000001,20,7132615.315737109,9904.519314626747,10691.667035752347,9117.371593501146,-1.0,-0.017840375586854473,0.02528513905062124,0.05763397371081891,0.1143628156517904,0.08607846761181115,-0.01800143351865735,0.02980422364749902,0.03605467616202042,0.03437946028192011,0.012501238748945763,0.049639849602203905,-0.17569666674090767,0.04297219186254253,0.03106355465827093,0.052248462777972904,-0.025709303092366298,-0.017397399727512308,10002.792857142853,9754.472666666665,69.0,88.32401663371733,88.60285090598761,46.05712343834943,102.67923877623605,-11.67598336628267,1.0
133,2017-12-02 04:05:00,8978,11036.02,11087.0,10854.98,10854.98,657.5544540000002,338.75243100000006,31,7216591.27470255,10192.03718892766,11123.426954876788,9260.64742297853,-1.0,-0.017426567096628265,0.010707654949078105,0.029202672234137195,0.03776099426386237,0.019246948356807403,-0.017580197163109545,0.029524589675405565,0.05116087821217829,0.035912220504768555,0.006009626996837809,0.09639793315464441,-0.1445602050107813,0.028230931141166593,0.018133663862734295,0.008281104382080073,-0.01800143351865735,0.04297219186254253,10643.068571428566,10048.602666666668,80.0,89.15865317222236,94.29163635941238,51.18945381824942,112.81723799692989,-10.841346827777645,1.0
143,2017-12-03 14:20:00,9389,11630.0,11704.02,11568.25,11593.02,615.0188790000002,341.17318900000004,28,7149300.48297103,10793.06945619296,11809.384794318921,9776.754118066998,-1.0,-0.015454777070063708,0.04516006887784996,0.04714634371053905,0.06800567120811651,0.06260397561505449,-0.015575447036717094,0.030772479178209883,0.010514063897311146,0.04106499407442251,-0.002871476501190472,0.07866096602088525,-0.1521949504739641,0.05974549668291651,0.0018986467922914585,0.019724354205372663,-0.005070574212943768,0.0024769399940396397,11168.434285714282,10979.974666666665,84.0,86.95483870967745,93.17760742801998,59.94992930167547,111.15059548376817,-13.045161290322548,1.0
166,2017-12-06 06:30:00,10159,12221.34,12416.02,12193.89,12369.02,578.276258,277.70504900000003,24,7097710.798057118,11625.20345932378,12385.244678510888,10865.162240136673,-1.0,0.010375755595490865,0.04689123994921718,0.05268972044064979,0.05718119658119658,0.05582937401514987,0.01032229690827613,0.026315597724793593,-0.10959381997744815,-0.011221971208054595,-0.1937986604548374,-0.0664538638941024,0.017697385852523288,0.03550275179000728,0.005523478582519559,0.004257590252640497,-0.0012795229416155962,-0.004829981101375225,11908.94571428571,11701.446666666669,79.0,96.5542521994135,96.56894252584353,59.182493268057016,158.3538121719649,-3.44574780058651,1.0
167,2017-12-06 08:35:00,10184,12355.04,12504.1,12355.04,12504.1,594.4959560000002,344.80855700000006,25,7387928.433586918,11705.103153723094,12527.276448954928,10882.92985849126,-1.0,0.010920832854987683,0.021409900343081212,0.05832416419805342,0.0641859689257458,0.0687264957264957,0.01086163119085981,0.02579552081965052,-0.222048829639878,0.019648907592617892,-0.22444599582141134,-0.02511506113465175,0.02929776117623807,0.01032229690827613,0.03550275179000728,0.005523478582519559,0.004257590252640497,-0.0012795229416155962,12013.574285714281,11780.453333333337,81.0,100.0,97.84729331875742,60.41631568624446,158.48822163295733,-0.0,1.0
169,2017-12-06 12:25:00,10230,12829.72,12874.98,12432.67,12625.1,572.1456340000002,257.489374,21,7236697.157230749,11880.053035681092,12832.146728011925,10927.95934335026,-1.0,-0.014434035909445697,0.009676826001071559,0.020703337855383808,0.031293906224473256,0.06856538298772752,-0.014539219986509977,0.023351820575429172,-0.1804014471254595,-0.06821618481428192,-0.13638887034825728,-0.03142634249517934,0.08463422266443457,0.024169525380628443,0.01086163119085981,0.01032229690827613,0.03550275179000728,0.005523478582519559,12302.162857142856,11948.27266666667,87.0,82.45187749741923,94.15062583247312,62.794176516355094,129.46145811732674,-17.548122502580764,1.0
170,2017-12-06 14:30:00,10255,12669.0,12811.19,12630.0,12799.99,572.3166739999998,356.92043699999994,25,7284411.545637351,11963.683675786793,12958.32437495753,10969.042976616056,-1.0,0.013852563544051177,-0.0007814207650272964,0.023663438392207414,0.03484269570265064,0.04557997059304042,0.013757493753132621,0.023197731771508457,-0.1635677268221341,-0.05565808677204855,-0.1279955335352168,-0.049262312648133334,0.06861238651789685,-0.014539219986509977,0.024169525380628443,0.01086163119085981,0.01032229690827613,0.03550275179000728,12452.172857142856,12034.826000000003,87.0,94.67078847315497,92.37422199019146,63.996170079633366,124.70392203408883,-5.329211526845027,1.0
175,2017-12-07 00:15:00,10372,13448.59,13809.67,13179.34,13809.67,556.214201,329.9652000000001,20,7484114.009863962,12405.894608804281,13675.884818744322,11135.90439886424,-1.0,0.024456991436937248,0.06647766675985367,0.09029362838020805,0.11368306451612908,0.07888131162602474,0.024162707763835556,0.023366632174071828,-0.12370170733999095,0.06988176489061125,-0.11444162415616778,-0.0580741196441154,-0.058278145175436384,0.04019861026155347,0.022085725773406395,0.021225554998173024,-0.03174791706427449,0.013757493753132621,12961.374285714282,12508.976,83.0,100.0,97.56689156814339,67.31189742533427,146.32570823847226,-0.0,1.0
176,2017-12-07 01:35:00,10388,13810.0,14031.48,13739.01,14031.48,526.1301109999998,383.613573,16,7303794.497208672,12553.675105881042,13961.580729008992,11145.769482753092,-1.0,0.016061933413325624,0.04091175141821313,0.08360736003014924,0.10780585204022408,0.13157096774193544,0.01593430538240348,0.022502801443204108,-0.16788930459857168,0.0158740668113587,-0.06467502833373012,-0.0580462050909703,-0.10112721382577028,0.024162707763835556,0.04019861026155347,0.022085725773406395,0.021225554998173024,-0.03174791706427449,13162.28571428571,12663.409333333335,86.0,100.0,100.00000000000006,68.70661959069223,149.77722433944064,-0.0,1.0
177,2017-12-07 02:40:00,10401,13957.06,13971.51,13136.75,13508.78,545.070671,177.08341299999998,13,7421212.45088502,12640.502827250084,14047.66611520906,11233.339539291108,-1.0,-0.03725195061390518,-0.021788355550856675,0.0021357582609482506,0.043240872169441946,0.06653792315022655,-0.03796353237476424,0.023105431736843877,-0.22159680721114636,0.0075546156253470075,-0.1266284601968735,-0.10165904289288628,-0.15619949390271554,0.01593430538240348,0.024162707763835556,0.04019861026155347,0.022085725773406395,0.021225554998173024,13263.541428571423,12783.994666666667,60.0,77.61849097160675,92.53949699053562,69.13687131791583,99.77351152883091,-22.381509028393257,1.0
186,2017-12-07 17:10:00,10575,15418.01,15439.48,14670.0,14966.0,474.68195,196.703545,9,7143745.630280429,13877.141549527027,15861.51417332577,11892.768925728284,-1.0,-0.046744913499393914,-0.020428573953191864,0.009442870632672351,0.05766784452296814,0.013228295920073574,-0.04787274430212385,0.0252891987102314,-0.21352558784013947,-0.0332421782306078,-0.23880269249902175,0.01467924341193872,0.0482375912261304,0.02723262097176793,0.0300386887539954,0.046667772145280395,-0.04292477153351726,0.01830662521650872,14884.754285714282,14166.621333333334,61.0,72.52713101202093,89.39245910581326,70.56172425462552,90.46827968170227,-27.47286898797907,1.0
192,2017-12-08 02:40:00,10689,17149.5,17181.48,16490.0,16739.49,465.82547800000003,323.900662,12,7783771.700373028,14882.840483561975,17313.379144601393,12452.301822522557,-1.0,-0.015411572266227913,0.006269841222132255,0.05737808987734949,0.12345570469798672,0.09058801684794848,-0.015531564993640501,0.02679085043212418,-0.1693209590293325,-0.008893372632520135,-0.29766628598404854,0.18025915751804764,-0.028630641457968602,0.021781832534607304,0.049542076312054206,0.06061704184297767,-0.029692369915759187,0.025272621209005308,15917.481428571426,15234.06,72.0,86.92917344373805,94.7584243591989,68.91278418661726,122.47800847507771,-13.070826556261952,1.0
