,side,log_ret,mom1,mom2,mom3,mom4,mom5,volatility_50,volatility_31,volatility_15,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5
2018-03-25 20:00:00.000,-1.0,-0.0038905267109261565,-0.0038829684169734424,0.009615082482325121,0.02153973325703018,-0.015390744103023768,-0.04299393885240288,0.027169920891654212,0.030588562222936218,0.020442361291885074,-0.19745855841473936,0.3114508542217045,-0.24259212869978858,0.13440407598100068,-0.10934673981272565,0.013459678471430259,0.011741879730697402,-0.03682144252617281,-0.028435143026706022,-0.006915821099726216
2018-02-06 12:00:00.000,-1.0,0.006319136351478294,0.006339144215530945,-0.023076923076923106,0.0984068775838507,0.12389380530973448,0.08169801035704549,0.04187131555736289,0.05047280195303623,0.06257784217429987,-0.2788482671213276,0.05651094709127816,-0.0840270027173657,-0.08322406111442622,0.14965460647700027,-0.029666500348469516,0.11720820090554085,0.022938430837700752,-0.03826722946053085,-0.03721779664747671
2017-12-31 06:00:00.000,-1.0,-0.028608497900920238,-0.028203149492367463,-0.05411590733046967,0.02396168163742396,0.04127906976744189,0.06748344370860937,0.04934144860809928,0.03690888983516484,0.042546070768490166,-0.12734241338205377,-0.005126558309172608,0.07182824593164121,-0.2686806808493809,0.01943525746780521,-0.027026743141116416,0.07931434668324355,0.01677072661200585,0.024854124340702555,0.06798108455670238
2019-07-15 18:00:00.000,-1.0,-0.01929380483280152,-0.019108870651484144,-0.019437475052745623,-0.019811256897958374,-0.004475802804161044,0.016540986695534388,0.015255368625431686,0.017608135405120566,0.016211758979449514,0.09227061002709985,-0.09643788221937544,-0.38954595035065265,0.021555546912083487,-0.0422367274938424,-0.0003350621143827226,-0.00038126391228843204,0.015524281661615014,0.02089152386379345,-0.02341750321028524
2019-04-19 11:00:00.000,1.0,0.022564158489831065,0.022820654687939257,0.036180447397075266,0.04172748267898396,0.04738773046022371,0.0476942587577287,0.00964576670879401,0.011716100463928097,0.009313454931217812,0.20823734276316788,-0.14800183518671883,0.05468947997731022,-0.041118985319292964,-0.11638694598892366,0.012977147204607409,0.0053390704933984345,0.005418812324027744,0.0002926169966328551,-0.0008868768356573575
2018-12-08 08:00:00.000,-1.0,-0.00870301585371136,-0.008665254237288034,0.01167542323409232,0.00197006359879226,0.11956261664353729,0.08405347172346689,0.03139840600000373,0.033003635948645804,0.04248197888716901,-0.2320261868565476,0.06208052387465937,0.02440297720895745,-0.06901036927887762,0.2070911797559336,0.020310807245197626,-0.0096396658230411,0.11096996261144665,-0.03223085822085103,-0.07306983844921433
2019-04-01 11:00:00.000,1.0,0.0065061889437427745,0.006527400167486652,0.006423491626519784,0.008210237229317796,0.0049134702385724704,0.002748587134783431,0.006344747156427629,0.007120870594912127,0.004048791139239727,0.058739231090609835,-0.18867705815569083,-0.1931646252188536,-0.0029079363490351383,0.09333916535458818,-0.0001032400159215463,0.001773767653810765,-0.0032752780424498695,-0.002156621862642538,-0.002551043629764216
2019-02-06 09:00:00.000,1.0,0.007725355055168581,0.0077552726021337115,0.0005857444445802606,0.013197078848839139,0.04050607210385393,0.08360094622632785,0.015159806488185103,0.017677918298879658,0.020331319443750315,-0.10983393879173779,0.01968359682935108,-0.01780018346603547,-0.1551105054852592,-0.1267125200759453,-0.007139782091905911,0.012525183083648361,0.026596446543359242,0.04058250186289136,-0.013181060196580052
2018-07-28 05:00:00.000,1.0,0.008825070785141165,0.008864126527677874,0.019528497221112273,0.008334950026226418,0.0029588547659717968,0.00949551480796762,0.010688763529061143,0.011117442363958091,0.008456856580793284,-0.3327647606909141,-0.009402506646203694,0.009825467979904884,-0.1975659242478351,0.111063772233461,0.010515192010684515,-0.011039856650621349,-0.005345920174363972,0.006496229806357334,-0.004120608845527229
2019-02-11 15:00:00.000,1.0,-0.002278371688043457,-0.0022757781693094614,0.0016530143822781618,-0.006931178822325856,-0.013122406639004103,-0.01567511639937902,0.008655452020739364,0.007578828706753075,0.008533415332390082,-0.3256924581031373,0.18470442678240176,-0.1353855731449713,-0.10595782606942902,0.13155669116065907,0.0039300213457797994,-0.008606960674345299,-0.0062539551075269095,-0.0025900040378399325,0.024318135379967742
2018-01-11 12:00:00.000,1.0,0.12872870517620782,0.13738151658767794,0.1085064983804569,0.15035710861854112,0.20075551469438557,0.27635104141044153,0.04507407282880184,0.05011168870185175,0.06153138216726361,-0.2904442783516651,0.14300729644088617,-0.24562528767507907,0.3246786389197392,-0.2112454897222019,-0.025715092800301154,0.03705881102854258,0.04287853085601334,0.06105430364932252,-0.04915700359868724
2019-07-14 17:00:00.000,-1.0,0.02159970708591974,0.021834669415443653,0.003683927881211302,0.001816344367966849,-0.004502044070499256,-0.0012457708462392247,0.009756919779424859,0.010779151712746808,0.010805092350525092,-0.13363090489883045,-0.04699043872483273,-0.2224764580966291,0.3656656194902902,-0.2001918757917559,-0.017922548247674808,-0.001862462028988876,-0.006326905599645993,0.0032656613265915624,-0.004709886035866528
2018-02-26 15:00:00.000,1.0,0.016898894473375226,0.01704248851039436,0.06262699719804066,0.08456038858265558,0.06013272731152508,0.05869817693627244,0.01767898251675381,0.01839927202092008,0.01745752232086447,0.009197916090420762,-0.18586713956034343,0.20347999208886783,-0.23921044425646,0.024435290956132796,0.04384524697493042,0.020430591626618977,-0.022780618344788284,-0.0013540963477294277,0.0037682921300148386
2018-01-16 16:00:00.000,-1.0,0.053722718751064935,0.05519197663802178,0.10915750915750921,0.005318760416735735,-0.057871810827629155,0.16105184855712085,0.051922456361361155,0.06168218602299223,0.08194768885250539,-0.11597751181539358,-0.3481432976925137,0.21351582880704756,0.09616046243576891,-0.1552388697275132,0.04987800762726913,-0.09829606061249141,-0.06491859750596074,0.20894029199197517,-0.04938194507663329
2019-05-26 17:00:00.000,-1.0,-0.00043370987915736237,-0.0004336158406234025,-0.010511970799414128,-0.015994029850746272,-0.007526901144691123,0.005021418009420797,0.008432701746511995,0.008423768686880054,0.010731866090668054,-0.17055521662779594,0.11616438103705158,-0.10976580785168062,0.06989481548954661,-0.11692174510152743,-0.010133901960132086,-0.005555702884148417,0.008567943507414189,0.012564223952137077,-0.015768555242788196
