,Unnamed: 0,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,srsi,sma
51,51,2017-12-16 15:40:00.000,11663,4.51,4.5399,4.21,4.3,181291.53,67395.76999999999,52,792912.5211109995,3.382084331167355,4.624406007666762,2.1397626546679493,-1.0,-0.04867256637168138,0.0336041536464593,0.0311750599520384,0.026252983293555854,0.13501385772733274,-0.0498969711446231,0.0769614629301018,-0.2582092165286989,0.2258628457709812,0.012029447674823944,0.06970941167786142,-0.1719283348937287,0.08294884380354928,-0.002352885770119606,-0.004784698123336373,0.10073057154475552,0.11415362624270475,4.072642857142856,3.41012,91.0,66.76785384566105,1.0
54,54,2017-12-17 04:50:00.000,11821,5.3,5.4979,5.1252,5.23,139839.12,66040.58,22,737306.6522119999,3.7990449179780175,5.355265467262875,2.2428243686931597,-1.0,0.011624983075107842,0.11278963382199625,0.21627906976744196,0.1570796460176993,0.2571510985048797,0.011557932103327673,0.06813350717330446,-0.3073699848300909,0.0697142181301967,0.07619318801720479,-0.058557276554342924,-0.1612380668378055,0.09531211407958562,0.08892620919440164,-0.0498969711446231,0.08294884380354928,-0.002352885770119606,4.607142857142857,3.904666666666666,96.0,72.12605988379687,1.0
55,55,2017-12-17 07:55:00.000,11858,5.32,5.6,5.2939,5.6,159215.84,99742.1,37,871768.304147,3.9635591740727687,5.647845556725624,2.2792727914199142,-1.0,0.07074569789674934,0.08319309851254375,0.1915147130790016,0.3023255813953487,0.23893805309734506,0.06835531966427189,0.06819477840731004,-0.29906597885859265,0.08049309774090058,0.09440503079006143,-0.07159448106803816,-0.14753456666645762,0.011557932103327673,0.09531211407958562,0.08892620919440164,-0.0498969711446231,0.08294884380354928,4.811428571428571,4.086733333333332,96.0,73.69034038536158,1.0
57,57,2017-12-17 10:35:00.000,11890,5.83,6.15,5.83,6.15,126400.53999999998,65535.28,19,765516.4494530002,4.3156049472852835,6.250272953043661,2.3809369415269046,-1.0,0.06010721734783586,0.0982142857142858,0.17590822179732313,0.1895781349735972,0.30853847954211777,0.05837005145017171,0.06695676570132891,-0.2947226152516807,0.07322493602392761,0.09529328147302296,-0.05922512764120848,-0.15272979529053274,0.03531543262715142,0.06835531966427189,0.011557932103327673,0.09531211407958562,0.08892620919440164,5.278728571428571,4.4929,97.0,77.30747213478621,1.0
103,103,2017-12-21 16:35:00.000,13101,4.77,4.8999,4.499,4.7497,156525.88000000006,61444.78999999999,15,731445.958575,5.280972525181789,5.925698772640862,4.636246277722716,1.0,-0.004360129965412463,-0.040193185951582285,-0.11838515081206502,-0.14727109515260328,-0.10970946579194008,-0.004369663052494532,0.05867243966349939,-0.16513004034899958,-0.13592434677159598,0.13507129627929168,-0.2430215637548889,-0.001974323755824832,-0.03665358708454525,-0.08497674713555736,-0.03331359850932647,0.04310616918547594,0.013302710439039744,5.146542857142856,5.176439999999996,26.0,42.164917845507006,-1.0
104,104,2017-12-21 22:00:00.000,13166,4.7601,5.21,4.6412,5.21,149026.66,113784.67,65,748087.2647449998,5.274520186711103,5.890040479677276,4.658999893744929,1.0,0.09691138387687648,0.0921287076826327,0.052823020652305715,-0.032946635730858535,-0.06463195691202883,0.09249839760800647,0.060143722975811324,-0.17021403347749553,-0.15513540528746225,0.07680321787761135,-0.2624998971092727,0.02757781668136169,-0.004369663052494532,-0.03665358708454525,-0.08497674713555736,-0.03331359850932647,0.04310616918547594,5.138757142857143,5.200439999999996,40.0,42.77709086767386,-1.0
105,105,2017-12-22 02:15:00.000,13217,5.23,5.28,4.6401,4.8513,143417.44,54429.51999999999,51,727152.9051220001,5.236044048244212,5.8519943021908105,4.620093794297613,1.0,-0.06884836852207288,0.02139082468366427,0.016937427942563588,-0.019662126662086218,-0.09952668213457072,-0.0713331454954047,0.060144452915709995,-0.2191213092781302,-0.1827404743547543,0.06561750231757671,-0.20138437385599486,0.05892519605303372,0.09249839760800647,-0.004369663052494532,-0.03665358708454525,-0.08497674713555736,-0.03331359850932647,5.069657142857143,5.203193333333329,43.0,42.63019782848279,-1.0
107,107,2017-12-22 07:25:00.000,13279,4.6012,4.7424,3.9407,3.9407,193541.28,34289.64,39,833959.5478440002,5.065821550151275,5.8929515045754215,4.238691595727129,1.0,-0.1435681220524635,-0.18770226537216828,-0.24362763915547025,-0.17032654693980664,-0.1739440310240017,-0.15498049976047712,0.0632236310301231,-0.1870609752996625,-0.13396607617282846,0.006400270075722522,-0.18302744319558745,0.1138401214898734,-0.0529078380054846,-0.0713331454954047,0.09249839760800647,-0.004369663052494532,-0.03665358708454525,4.724585714285714,5.0760133333333295,27.0,40.78765688514904,-1.0
108,108,2017-12-22 09:00:00.000,13298,3.84,4.3698,3.832,4.3698,180658.72,119978.54,19,728038.50009,5.0025449164388185,5.849029967480629,4.156059865397011,1.0,0.10888928362981187,-0.050311868385021774,-0.09925174695442474,-0.1612667946257198,-0.07998399898940989,0.1033588689658782,0.06456956548540145,-0.2402981318571593,-0.14695434958916828,-0.04199542743572826,-0.10290803410937836,0.11175265030995432,-0.15498049976047712,-0.0529078380054846,-0.0713331454954047,0.09249839760800647,-0.004369663052494532,4.6419000000000015,5.008666666666662,25.0,40.277957567997305,-1.0
109,109,2017-12-22 10:55:00.000,13321,4.3839,4.657,4.3334,4.4849,168426.08000000002,84254.48000000001,23,756201.5742119999,4.9554849710649815,5.7943619493695815,4.116607992760383,1.0,0.02633987825529771,0.1380972923592254,-0.025297198617782013,-0.07552614763053211,-0.1391746641074857,0.02599895724836476,0.06425954103993016,-0.22690301947945085,-0.15715373235327135,-0.061452633922622166,-0.11333222992554876,0.14774046676337085,0.1033588689658782,-0.15498049976047712,-0.0529078380054846,-0.0713331454954047,0.09249839760800647,4.6011000000000015,4.958326666666664,38.0,39.616505584238965,-1.0
111,111,2017-12-22 15:15:00.000,13373,3.6910000000000003,4.0889999999999995,3.42,4.0889999999999995,207382.93,80642.83,15,751982.1064439998,4.781016603243169,5.746778549768625,3.815254656717713,1.0,0.0767326732673268,-0.08827398604205207,-0.06425923383221188,0.037632907859009856,-0.11133810010214497,0.07393115312753418,0.06886592071018946,-0.2716641675240457,-0.2182626093834407,0.09423474774906992,-0.09485731903755924,0.134169930117207,-0.16634691046318095,0.02599895724836476,0.1033588689658782,-0.15498049976047712,-0.0529078380054846,4.304942857142858,4.758026666666663,23.0,37.943325300126325,-1.0
112,112,2017-12-22 17:50:00.000,13404,4.01,4.0999,3.7002,3.9045,182481.84,107321.64999999997,31,726755.6151909998,4.701331600720515,5.7002871149244765,3.7023760865165536,1.0,-0.04512105649303011,0.02814935748894043,-0.12941202702401378,-0.10648084580529993,-0.009186185195523609,-0.046170707261912636,0.0689109120248769,-0.2807812574136402,-0.17075643699371548,0.05985897027714208,-0.09921259623389203,0.15931747818077455,0.07393115312753418,-0.16634691046318095,0.02599895724836476,0.1033588689658782,-0.15498049976047712,4.169685714285714,4.667359999999997,23.0,37.12830218572247,-1.0
113,113,2017-12-22 21:55:00.000,13453,3.98,4.6073,3.96,4.6073,171222.86000000004,135372.67000000007,49,732776.3409809999,4.692783110030708,5.646154670720272,3.7394115493411424,1.0,0.179997438852606,0.12675470775250666,0.21321360859490213,0.02729157840754559,0.0543503135154928,0.1655122680113248,0.07313054049210027,-0.2936999039393055,-0.10698180531838357,-0.07283258191424306,-0.06539528377852996,0.2359811843986059,-0.046170707261912636,0.07393115312753418,-0.16634691046318095,0.02599895724836476,0.1033588689658782,4.170542857142856,4.618846666666664,42.0,36.75975630231882,-1.0
129,129,2017-12-25 08:50:00.000,14160,5.5999,6.218,5.5177,6.218,137500.22999999998,128298.41,20,818887.834113,4.89538898704348,5.867703824665647,3.923074149421312,-1.0,0.13471294572794634,0.18329907893735253,0.2148090260818598,0.32769628253581873,0.2144768452508836,0.12637970769301088,0.07608043560649218,-0.2291642830680595,-0.004202543366372333,-0.08894534410077559,0.009791145883701505,0.33983920845205434,0.041926659330335125,0.0262805172355276,0.08885843772909485,-0.08913191796208553,0.15690843899018134,5.178671428571431,4.789519999999999,80.0,47.10442247992557,1.0
130,130,2017-12-25 10:05:00.000,14175,6.2889,6.2889,5.6643,5.7684,126389.78999999998,56656.69,15,743097.5706469999,4.974753924630347,5.978874988870628,3.9706328603900665,-1.0,-0.07230620778385333,0.05266615569911304,0.09773920986526584,0.12697079222428442,0.2316955992569341,-0.07505356593078383,0.07643393181659561,-0.2619852077912298,0.0020749509297564874,-0.1153302451382497,-0.016084064124942347,0.36003882384579394,0.12637970769301088,0.041926659330335125,0.0262805172355276,0.08885843772909485,-0.08913191796208553,5.377528571428575,4.879853333333332,81.0,48.009281015467636,1.0
131,131,2017-12-25 12:25:00.000,14203,5.8,5.96,5.7,5.9551,127678.54,63535.98,28,747534.1019219998,5.063876601423283,6.114708685097718,4.013044517748846,-1.0,0.032365994036474666,-0.042280476037311006,0.08673674221686922,0.13326863058536942,0.16344632216469668,0.03185324957174185,0.076435964133025,-0.26147081102412945,0.0067236724868335535,-0.10914799493490474,-0.011451391888918487,0.3610645913584151,-0.07505356593078383,0.12637970769301088,0.041926659330335125,0.0262805172355276,0.08885843772909485,5.496842857142861,4.972486666666666,81.0,48.84651963563381,1.0
133,133,2017-12-25 15:40:00.000,14242,5.8958,6.2828,5.8646,6.2828,143099.59999999998,89327.81,21,868940.14973,5.2436985284722,6.380119245264781,4.107277811679621,-1.0,0.06507993015646972,0.05502846299810238,0.08917550793981,0.010421357349630123,0.1465381948246287,0.06304984813525616,0.0746511431534467,-0.241035898431298,0.01840106528113877,-0.15398464291842234,0.058502456875189186,0.3455204752631732,-0.009482102426036088,0.03185324957174185,-0.07505356593078383,0.12637970769301088,0.041926659330335125,5.836828571428574,5.158826666666665,85.0,50.833430961325504,1.0
135,135,2017-12-25 17:00:00.000,14258,6.77,6.8299,6.65,6.8106,116714.05,82234.83999999997,9,788544.4925259999,5.504764685955111,6.859694275812272,4.1498350960979495,-1.0,0.01970354843539468,0.08400713057872289,0.15455423892590134,0.1436583768534534,0.18067401705845645,0.019511946263713,0.07514032554568457,-0.2194939128616705,0.01874906958766565,-0.14775975296478838,0.05216076859537142,0.3724856365012554,0.061152534756758525,0.06304984813525616,-0.009482102426036088,0.03185324957174185,-0.07505356593078383,6.230400000000002,5.4596866666666655,90.0,54.84019554194325,1.0
