,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
0,2017-12-31 00:30:00.000,2,12478.0,12850.0,12478.0,12850.0,729.9796779999999,353.12854,2,9240050.238963999
1,2017-12-31 01:30:00.000,4,12940.0,12957.14,12940.0,12957.14,677.240114,677.240114,2,8769598.55664996
2,2017-12-31 02:30:00.000,6,12971.03,13347.56,12971.03,13347.56,657.491611,657.491611,2,8680753.49992193
3,2017-12-31 03:30:00.000,8,13399.95,13399.95,12962.06,12962.06,637.002697,318.817063,2,8396473.98239289
4,2017-12-31 05:00:00.000,11,12893.25,13058.11,12893.25,13058.11,704.6512829999999,473.480597,3,9125821.0126891
5,2017-12-31 06:30:00.000,14,12650.0,12650.0,12542.42,12542.42,736.788821,0.0,3,9284372.731435098
6,2017-12-31 08:30:00.000,18,12630.98,12797.46,12552.01,12552.01,732.7695779999999,377.641478,4,9289625.32543138
7,2017-12-31 10:30:00.000,22,12559.75,12888.88,12519.64,12888.88,674.305321,528.79777,4,8535505.42627069
8,2017-12-31 12:00:00.000,25,12997.92,13249.99,12989.94,13249.99,782.428931,542.7156110000001,3,10240638.43470502
9,2017-12-31 13:00:00.000,27,13052.0,13061.0,13052.0,13061.0,584.47965,286.197472,2,7631204.169048
10,2017-12-31 14:30:00.000,30,13157.94,13337.94,13157.94,13337.94,773.1671140000001,773.1671140000001,3,10240748.62207178
11,2017-12-31 16:00:00.000,33,13130.46,13660.0,13130.46,13660.0,1115.2827790000001,829.219665,3,14990708.25567492
12,2017-12-31 17:00:00.000,35,13836.0,13836.0,13786.99,13786.99,966.3408380000001,525.938039,2,13348707.69338901
13,2017-12-31 18:30:00.000,38,13762.99,13813.06,13737.1,13737.1,598.595638,198.203602,3,8244584.29174999
14,2017-12-31 20:30:00.000,42,13773.99,13971.95,13773.99,13971.95,625.943876,625.943876,4,8682212.68949073
15,2017-12-31 23:00:00.000,47,13920.03,13940.99,13724.0,13724.0,672.391173,93.724218,5,9314735.32040764
16,2018-01-01 01:00:00.000,51,13716.36,13716.36,13521.12,13560.0,703.8861059999999,382.00304700000004,4,9544862.78509548
17,2018-01-01 02:30:00.000,54,13203.06,13330.18,13203.06,13330.18,652.362287,429.064572,3,8646292.94081424
18,2018-01-01 04:00:00.000,57,13562.37,13562.37,13410.03,13430.0,585.4098,366.61559,3,7884329.4242097
19,2018-01-01 05:30:00.000,60,13601.01,13618.51,13558.99,13558.99,579.713605,464.923363,3,7884932.23184221
20,2018-01-01 07:30:00.000,64,13687.76,13780.41,13570.35,13570.35,557.178461,264.989684,4,7622366.29837879
21,2018-01-01 10:00:00.000,69,13632.89,13632.89,13499.99,13549.03,582.8623580000001,330.538409,5,7906491.12749922
22,2018-01-01 11:30:00.000,72,13570.01,13570.01,13079.98,13220.56,736.8935730000001,334.139655,3,9710532.919097438
23,2018-01-01 13:30:00.000,76,13146.15,13172.42,12977.16,13017.0,712.3938340000001,286.225913,4,9298620.806979612
24,2018-01-01 14:30:00.000,78,12927.0,13211.39,12927.0,13211.39,692.4673620000001,298.221243,2,9036336.72787077
25,2018-01-01 16:00:00.000,81,13312.79,13312.79,13066.06,13066.06,616.157429,222.674185,3,8142674.071290471
26,2018-01-01 18:30:00.000,86,13018.0,13180.09,13018.0,13135.0,651.246877,270.92643,5,8528831.50191617
27,2018-01-01 20:30:00.000,90,13200.0,13399.24,13200.0,13399.24,664.031753,664.031753,4,8848394.313821921
28,2018-01-01 22:30:00.000,94,13516.78,13537.09,13452.0,13452.0,630.22452,343.64042400000005,4,8507515.762301551
29,2018-01-02 00:30:00.000,98,13415.0,13750.01,13380.0,13750.01,811.814609,466.596114,4,11032825.60703037
30,2018-01-02 02:00:00.000,101,13686.0,13686.0,13437.17,13437.17,960.872239,0.0,3,13017129.781015381
31,2018-01-02 03:00:00.000,103,13522.0,13522.0,13400.0,13400.0,656.090751,271.124467,2,8824693.248374
32,2018-01-02 04:00:00.000,105,13353.78,13353.78,13047.0,13047.0,738.056309,0.0,2,9715924.59263616
33,2018-01-02 05:00:00.000,107,13127.31,13176.2,13127.31,13176.2,877.3412350000001,877.3412350000001,2,11533802.0920554
34,2018-01-02 06:30:00.000,110,13166.95,13255.98,13166.95,13255.98,981.307951,722.310035,3,12975243.68796806
35,2018-01-02 07:30:00.000,112,13235.0,13343.0,13235.0,13343.0,665.58438,317.513668,2,8843300.745444
36,2018-01-02 08:30:00.000,114,13350.0,13350.0,13326.09,13326.09,745.6436630000001,354.59003,2,9944992.808684971
37,2018-01-02 10:00:00.000,117,13451.06,13520.01,13451.06,13520.01,856.4410310000001,856.4410310000001,3,11544002.05360529
