,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,sma
77,2017-11-26 12:20:00,7349,8922.94,8941.23,8800.0,8886.78,796.9413210000004,485.726809,60,7067279.847446622,8376.199297149287,8941.385286282528,7811.013308016047,-1.0,-0.0034996675259783006,0.019303823602279335,0.0419315429222642,0.041340617156356174,0.05352519418442547,-0.003505805687575858,0.02011716242604018,-0.07596118655658626,0.07177108028513707,0.2732962722026214,0.00812212843628134,0.011471047945385364,0.02262567407681182,0.021956375012406326,-0.0005673054083654705,0.011632930728415758,0.009682444392753453,8625.092857142856,8379.662666666667,1.0
79,2017-11-26 21:10:00,7455,9159.97,9325.02,8972.78,9010.0,777.8315409999997,349.301879,56,7130645.59846093,8497.828218137429,9155.33100040049,7840.325435874366,-1.0,-0.015301622621177513,0.01386553959926995,0.010317347294625856,0.03343702113212399,0.05637848599038131,-0.015419900562759992,0.02003496661373175,-0.15864753748326585,0.008419864685709226,0.2611637770967834,-0.10767427636715932,-0.052641621439047846,0.02919019299357828,-0.003505805687575858,0.02262567407681182,0.021956375012406326,-0.0005673054083654705,8820.911428571428,8500.846666666668,1.0
81,2017-11-27 05:10:00,7551,9549.99,9573.97,9362.32,9510.02,744.486975,319.5185600000001,47,7065711.797157201,8676.212812373722,9521.895311013446,7830.530313733998,-1.0,-0.0033514986376020905,0.05549611542730304,0.03934531219091575,0.07013113861263576,0.06638603541829502,-0.0033571274894050873,0.019972309634736164,-0.24218620265520452,-0.016834345225223656,0.10804929250878273,-0.06258730975316196,0.04129590452593444,0.05736803547366698,-0.015419900562759992,0.02919019299357828,-0.003505805687575858,0.02262567407681182,9105.039999999999,8676.901333333333,1.0
120,2017-11-30 15:00:00,8533,9035.01,9301.01,8905.25,9301.01,797.3004850000002,479.927461,14,7265130.2880563885,9817.842223070511,10658.244686619697,8977.439759521325,1.0,0.03273526319120523,-0.031144791666666616,-0.07090892200178411,-0.07147748826994105,-0.06733136324300792,0.032210877709706764,0.03475722868807518,-0.28637772493621727,0.1679667480479239,0.03547973261873357,0.000578910878191273,0.08327597977764585,-0.06385097977053711,-0.0419084041635287,-0.0006121469923083822,0.004455353109477755,-0.052497936893470154,9773.93285714286,9721.934,1.0
130,2017-12-01 16:20:00,8837,10587.09,10587.09,10330.99,10455.26,693.3001980000001,358.467381,23,7251831.031609748,9893.807372644093,10639.828073805904,9147.786671482281,-1.0,-0.013842645080843097,0.033085583404641294,0.05811117430721002,0.10055368421052635,0.08112082194160553,-0.013939347944996072,0.035785735731742256,-0.2744332960358179,0.18119917146522901,-0.04643981815700377,-0.0954012974726664,0.09932925070336979,0.04648938402593572,0.02393537152013714,0.03932799484778826,-0.017815101358811702,-0.0006440025548517525,9986.644285714287,9755.040666666668,1.0
134,2017-12-02 04:15:00,8980,11033.0,11045.79,10730.02,10730.02,664.3935389999998,314.233443,31,7273846.04062666,10180.821473754111,11089.176569749658,9272.466377758565,-1.0,-0.03219806981149087,-0.003985905452169036,0.014933589604375408,0.02627959515114875,0.012073170961760082,-0.03272783021644621,0.03640491091177399,-0.2744844990353233,0.17052087975971356,-0.042555426685283025,-0.05073344853236792,0.0867443495051404,0.028733959871221515,0.018817051737201496,0.011117038126432277,-0.013939347944996072,0.04648938402593572,10619.974285714286,10056.911333333332,1.0
168,2017-12-06 08:20:00,10181,12416.02,12499.0,12355.04,12477.55,572.2697760000002,325.199022,24,7107538.401656917,11699.150795162479,12527.112388771693,10871.189201553265,-1.0,0.0050382601691500994,0.019740928407976366,0.05626744389805349,0.061926379073219184,0.066457264957265,0.00502561060645057,0.024646445887406516,-0.2562711741783116,0.11076796313266091,-0.3689935690999162,0.024990573054201777,0.0617564414346299,0.01452299267147339,0.0351928112080202,0.005343183024285381,0.004257590252640497,-0.0012795229416155962,12015.188571428575,11781.206666666669,1.0
170,2017-12-06 12:15:00,10228,12779.98,12874.98,12432.67,12627.06,581.4512080000002,259.67090499999995,21,7363692.576485689,11873.989597383475,12829.65313857423,10918.326056192722,-1.0,-0.013048303892449598,0.011982320247163836,0.01708095046314928,0.031959790781300956,0.06892397867749311,-0.013134180860193467,0.02256761212130047,-0.19601235699646635,-0.024738059336203003,-0.22976976394302892,0.018741219041819777,0.036881494979316705,0.025045281461364866,0.00502561060645057,0.01452299267147339,0.0351928112080202,0.005343183024285381,12301.771428571432,11948.090000000002,1.0
176,2017-12-07 00:05:00,10370,13479.99,13743.0,13179.34,13743.0,546.221635,319.97263399999997,19,7335023.522043562,12388.021600792408,13651.391418562056,11124.65178302276,-1.0,0.019511898385605964,0.05600036882789561,0.09027211979903393,0.12078695669193729,0.07451217710099844,0.01932398176917971,0.022246629264957494,-0.09418351715529255,0.06288784031535813,-0.26872477922271193,0.05471171816633237,-0.07890404880842243,0.03516455278366948,0.03193878172230313,0.027603762199520432,-0.042164308631575054,0.012820703561864377,12931.608571428575,12494.772000000003,1.0
177,2017-12-07 01:30:00,10387,13770.0,14009.61,13739.01,14009.61,537.9543679999999,395.43783,17,7459135.866728399,12535.438734312123,13937.015349709283,11133.862118914964,-1.0,0.019399694389871325,0.03929011764112422,0.07648645325874814,0.11142306572493221,0.14252988112791476,0.01921391912963699,0.021835273954337323,-0.11371676004206577,0.022639224899088158,-0.22610588077315738,0.06098837804205838,-0.12813014923297697,0.01932398176917971,0.03516455278366948,0.03193878172230313,0.027603762199520432,-0.042164308631575054,13129.115714285717,12647.747333333336,1.0
178,2017-12-07 02:35:00,10400,14031.48,14031.48,13136.75,13647.63,538.4772439999998,210.520637,13,7349620.93308076,12636.547035132839,14060.397226695752,11212.696843569925,-1.0,-0.0258379783591407,-0.006939532853088903,0.012436962072644109,0.048672219575540465,0.08270614060488146,-0.02617764251981214,0.022188499785015206,-0.16405510128353992,0.01938390121903178,-0.26431417868698664,0.009492267161794377,-0.18119176947692844,0.01921391912963699,0.01932398176917971,0.03516455278366948,0.03193878172230313,0.027603762199520432,13251.635714285718,12777.589333333337,1.0
240,2017-12-09 11:15:00,11080,14499.99,14561.02,14250.0,14560.49,492.97326699999996,148.794281,7,7118628.46477255,15173.382286337008,15888.420844079834,14458.343728594182,1.0,0.009041567509954884,-0.020469876089572958,-0.03891218553651121,-0.04581131160486385,-0.03891218553651121,0.009000937262211295,0.02156960513841307,-0.05511732271651961,-0.05802152266673416,-0.00929645080640341,-0.05636798232728018,-0.13841012896548271,-0.02968322495754272,-0.019007208277420418,-0.007204344540573615,0.007204344540573615,0.008517352403261569,14919.481428571436,15313.312666666667,-1.0
246,2017-12-09 17:10:00,11151,14100.0,14100.0,13631.94,13700.0,518.727795,214.014045,8,7195785.67809967,14807.257513175262,15778.09601053648,13836.419015814045,1.0,-0.009256580850448337,-0.056019392255638234,-0.07118832978644796,-0.06466254116850279,-0.08666849332968007,-0.009299689225299446,0.02177518566281057,-0.13642964245775488,-0.05200552340539855,0.012088804360301528,-0.06657115138583336,-0.019562257849130373,-0.04834996646602541,-0.016199628156661205,0.007001387575469309,-0.023808471993614688,0.029740505051794486,14428.382857142862,14784.927999999998,-1.0
247,2017-12-09 17:55:00,11160,13450.93,13522.47,12699.96,13322.0,677.0756389999999,307.188599,9,8940395.51005425,14672.234102879273,15806.940252640914,13537.527953117631,1.0,-0.02759124087591236,-0.036592421174428735,-0.08206498858610312,-0.09681539630766856,-0.09046966229538644,-0.02797902884309167,0.02102508061469575,-0.06287426513766113,-0.0033207612629296704,0.1420050136278541,-0.08828324926731768,0.04030264301712235,-0.009299689225299446,-0.04834996646602541,-0.016199628156661205,0.007001387575469309,-0.023808471993614688,14251.45571428572,14629.082666666665,-1.0
248,2017-12-09 18:30:00,11167,13760.0,14175.0,13650.14,13856.0,569.019443,229.667693,7,7889602.912682619,14598.03100261386,15738.464661102713,13457.597344125006,1.0,0.040084071460741555,0.011386861313868568,0.0020248770610356015,-0.04527041599227177,-0.06061208011102359,0.03930154782909234,0.021365786539967613,-0.1047859311500469,-0.08358247536391383,0.038150611652180054,-0.13856737254337206,0.0764751990132646,-0.02797902884309167,-0.009299689225299446,-0.04834996646602541,-0.016199628156661205,0.007001387575469309,14088.022857142862,14536.837333333333,-1.0
259,2017-12-10 04:30:00,11287,12570.29,12799.99,12500.0,12500.0,613.797101,190.437503,7,7761757.29673171,13899.881765385238,15239.315614163741,12560.447916606736,1.0,-0.011628780421077733,-0.05123483683516228,-0.09255766614543182,-0.07407407407407407,-0.10233779962168921,-0.01169692348373097,0.021727205847589318,0.022430342782320443,-0.09308066100249762,0.14216181890755542,-0.11593335220067758,0.027637003837598914,-0.04089704466085209,-0.044531290679460156,0.020164217687915098,-0.031000409156808573,-0.044590695416321324,13440.310000000007,13684.341333333337,-1.0
