,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
0,2017-11-08 18:00:00,12,1.5458,1.9889,1.5458,1.9889,602035.33,533227.75,12,1101933.791369
1,2017-11-10 00:00:00,17,2.0,2.11,1.93,1.93,380267.95,233574.78,5,764776.223178
2,2017-11-11 00:00:00,21,1.7998,1.837,1.7133,1.837,476411.47,248589.75,4,856343.896711
3,2017-11-12 06:00:00,26,1.7304,1.7304,1.49,1.5851,516624.98,182545.4,5,820765.715536
4,2017-11-14 18:00:00,36,1.531,1.71,1.49,1.5911,458406.97000000003,173188.61,10,736452.1853729999
5,2017-11-16 18:00:00,44,1.5934,1.6299,1.5002,1.5599,495667.99999999994,188225.03,8,775070.531627
6,2017-11-18 00:00:00,49,1.53,1.563,1.5003,1.563,479497.75000000006,114319.58,5,728849.436525
7,2017-11-20 18:00:00,60,1.55,1.6699,1.55,1.64,451487.47000000003,259068.15999999997,11,733056.6016999999
8,2017-11-22 00:00:00,65,1.5909,1.6006,1.5874,1.5929,455549.61000000004,167817.86,5,725903.356788
9,2017-11-24 06:00:00,74,1.6042,1.6869,1.561,1.6869,739148.0599999998,510013.36,9,1202921.7897
10,2017-11-25 06:00:00,78,1.6799,1.8038,1.6799,1.7661,608538.6900000001,231105.62,4,1063227.808933
11,2017-11-27 06:00:00,86,1.7744,1.91,1.7744,1.782,577574.49,223584.16999999998,8,1054222.603387
12,2017-11-28 12:00:00,91,1.8518,1.9532,1.8518,1.8912,502167.57,265799.08,5,951795.441949
13,2017-11-29 06:00:00,94,1.9249,1.965,1.8101,1.965,418837.11,221426.34,3,789832.5144120001
14,2017-11-29 18:00:00,96,1.8878,1.8878,1.7565,1.7565,581826.79,0.0,2,1041020.3907659999
15,2017-11-30 06:00:00,98,1.988,1.988,1.8958,1.8958,432073.51,267389.8,2,843778.2998179998
16,2017-12-01 00:00:00,101,1.825,1.95,1.825,1.9323,395528.94999999995,101847.15,3,743099.90362
17,2017-12-02 06:00:00,106,2.025,2.08,2.025,2.08,420860.42000000004,420860.42000000004,5,863822.6789480001
18,2017-12-03 18:00:00,112,2.0301,2.295,2.0301,2.2617,408268.74,260190.40999999997,6,901204.0095759999
19,2017-12-04 12:00:00,115,2.51,2.51,2.4159,2.4724,341069.04,248347.27,3,843636.0399309999
20,2017-12-05 06:00:00,118,2.55,2.6628,2.5376,2.5376,353945.72000000003,265730.89,3,926491.43654
21,2017-12-06 06:00:00,122,2.5925,2.612,2.5605,2.5605,335821.23,118599.20000000001,4,867469.565165
22,2017-12-07 06:00:00,126,2.4697,2.7741,2.4697,2.7741,497012.91,385895.62,4,1306386.212671
23,2017-12-08 00:00:00,129,2.517,2.6625,2.492,2.492,420490.45,56599.69,3,1061062.734795
24,2017-12-08 12:00:00,131,2.4467,2.7609,2.4467,2.7609,383091.89,209784.73,2,1003225.2894290001
25,2017-12-09 12:00:00,135,2.79,2.79,2.311,2.311,405657.35,44833.15,4,1006833.84556
26,2017-12-10 00:00:00,137,2.65,2.65,2.3001,2.3001,320484.74,117001.96,2,778085.936278
27,2017-12-10 12:00:00,139,2.3496,2.5215,2.3496,2.5215,313705.74,313705.74,2,779365.0004489999
28,2017-12-11 06:00:00,142,2.4619,2.7185,2.4619,2.7185,288728.37,243649.72000000003,3,755190.6522960002
29,2017-12-12 06:00:00,146,2.69,2.7188,2.63,2.7188,359077.17,122878.21,4,963383.8759979999
30,2017-12-12 18:00:00,148,2.4968,2.5547,2.4968,2.5547,320744.58,91204.79,2,806115.824685
31,2017-12-13 06:00:00,150,2.645,2.645,2.5929,2.5929,418240.54000000004,257749.09,2,1097884.623755
32,2017-12-13 18:00:00,152,2.5882,2.719,2.5882,2.719,283905.89,119696.7,2,750461.552858
33,2017-12-14 00:00:00,153,2.86,2.86,2.86,2.86,347987.9,347987.9,1,995245.394
34,2017-12-14 06:00:00,154,2.96,2.96,2.96,2.96,276935.89,276935.89,1,819730.2344000001
35,2017-12-14 12:00:00,155,3.0,3.0,3.0,3.0,266887.26,266887.26,1,800661.78
36,2017-12-15 00:00:00,157,3.1519,3.16,3.1519,3.16,313648.64999999997,313648.64999999997,2,990265.649976
37,2017-12-15 12:00:00,159,3.3586,3.7198,3.3586,3.7198,425796.93,425796.93,2,1524277.58427
38,2017-12-15 18:00:00,160,4.12,4.12,4.12,4.12,286805.64,286805.64,1,1181639.2368
39,2017-12-16 00:00:00,161,4.0643,4.0643,4.0643,4.0643,247684.27,0.0,1,1006663.178561
40,2017-12-16 06:00:00,162,4.52,4.52,4.52,4.52,171640.41,171640.41,1,775814.6532
41,2017-12-16 12:00:00,163,4.275,4.275,4.275,4.275,237075.7,0.0,1,1013498.6175000002
42,2017-12-17 00:00:00,165,4.6378,5.4491,4.6378,5.4491,470374.68000000005,470374.68000000005,2,2466406.508355
43,2017-12-17 06:00:00,166,6.5,6.5,6.5,6.5,455650.34,455650.34,1,2961727.21
44,2017-12-17 12:00:00,167,5.8995,5.8995,5.8995,5.8995,595884.29,0.0,1,3515419.368855
45,2017-12-17 18:00:00,168,5.999,5.999,5.999,5.999,152959.14,152959.14,1,917601.88086
46,2017-12-18 00:00:00,169,5.383,5.383,5.383,5.383,591301.54,0.0,1,3182976.1898200004
47,2017-12-18 06:00:00,170,5.7209,5.7209,5.7209,5.7209,338761.07,338761.07,1,1938018.205363
