date_time,ret,trgt,bin,side
2020-03-19 09:30:00,-0.022500747533141352,0.01,0,-1.0
2020-03-19 10:00:00,-0.012273474805868156,0.01,1,-1.0
2020-03-19 10:05:00,-0.03312390929930886,0.01,0,-1.0
2020-03-19 12:15:00,-0.05725968751144428,0.01,0,-1.0
2020-03-19 16:25:00,-0.04619524922384033,0.01,1,-1.0
2020-03-19 16:30:00,-0.031905449320485224,0.01,1,-1.0
2020-03-19 22:55:00,-0.019219924528468213,0.01,1,-1.0
2020-03-20 08:05:00,-0.06957422908093736,0.01,0,-1.0
2020-03-20 08:10:00,-0.10873638648419404,0.01,0,-1.0
2020-03-20 08:15:00,-0.08186700927818891,0.01,1,-1.0
2020-03-20 08:20:00,-0.10778973395413716,0.01,0,-1.0
2020-03-20 13:25:00,-0.08868377307871866,0.01,1,1.0
2020-03-20 16:30:00,-0.07548189355293267,0.01,1,1.0
2020-03-20 20:25:00,-0.05839685549617224,0.01,1,1.0
2020-03-20 20:30:00,-0.042490385196305436,0.01,1,1.0
2020-03-20 20:35:00,-0.02916926289175037,0.01,1,1.0
2020-03-21 09:45:00,-0.009387695132923039,0.01,1,1.0
2020-03-21 20:40:00,0.0067810382601689555,0.01,1,-1.0
2020-03-21 21:00:00,0.02463281222253921,0.01,1,-1.0
2020-03-21 21:25:00,0.040505651341816495,0.01,1,-1.0
2020-03-22 12:00:00,0.052698795243093954,0.01,1,1.0
2020-03-22 12:10:00,0.063227313578325,0.01,1,1.0
2020-03-22 12:15:00,0.07835031702796069,0.01,1,1.0
2020-03-22 12:20:00,0.08912293527590642,0.01,1,1.0
2020-03-22 18:40:00,0.0627918878320366,0.01,0,1.0
2020-03-23 09:05:00,0.08444408348814547,0.01,1,1.0
2020-03-23 09:40:00,0.10853157631461774,0.01,1,1.0
2020-03-23 12:15:00,0.07486204458540857,0.01,0,-1.0
2020-03-23 12:20:00,0.04790871637657779,0.01,0,-1.0
2020-03-23 12:25:00,0.015337070402028918,0.01,0,-1.0
2020-03-23 12:30:00,-0.01059601602347493,0.01,0,-1.0
2020-03-23 21:05:00,-0.0415877956104147,0.01,0,-1.0
2020-03-23 21:35:00,-0.06426017605807521,0.01,0,-1.0
2020-03-24 00:05:00,-0.04758184622369188,0.01,1,-1.0
2020-03-24 00:25:00,-0.03665224785960697,0.01,1,-1.0
2020-03-24 08:20:00,-0.025850558330085205,0.01,1,-1.0
2020-03-24 08:30:00,-0.009960719779348537,0.01,1,-1.0
2020-03-25 09:15:00,0.015087711466192918,0.01,1,-1.0
2020-03-25 09:40:00,0.04221816389909794,0.01,1,-1.0
2020-03-26 00:15:00,0.05626920781536904,0.01,1,-1.0
2020-03-26 00:30:00,0.0673361319943988,0.01,1,-1.0
2020-03-26 08:05:00,0.08156770127378743,0.01,1,1.0
2020-03-26 13:35:00,0.09515952398570726,0.01,1,1.0
2020-03-26 20:20:00,0.07225177798067439,0.01,0,-1.0
2020-03-26 21:00:00,0.08263696982719804,0.01,1,-1.0
2020-03-27 00:05:00,0.10397335741852509,0.01,1,-1.0
2020-03-27 00:30:00,0.11960247467807661,0.01,1,-1.0
2020-03-27 23:55:00,0.09470276386948828,0.01,0,1.0
2020-03-28 00:00:00,0.10655635564577859,0.01,1,1.0
2020-03-28 00:05:00,0.0739822925463759,0.01,0,1.0
2020-03-28 17:55:00,0.08709094717921195,0.01,1,1.0
2020-03-28 18:00:00,0.10092436951384143,0.01,1,1.0
2020-03-29 08:45:00,0.0723115474807593,0.01,0,1.0
2020-03-29 19:40:00,0.08585020558021006,0.01,1,1.0
2020-03-30 05:10:00,0.058158690939224766,0.01,0,-1.0
2020-03-30 05:45:00,0.034228004591989936,0.01,0,-1.0
2020-04-01 00:25:00,0.04528422178055613,0.01,1,1.0
2020-04-01 00:30:00,0.05577840349142271,0.01,1,1.0
